gap_between_6star,LimitedBanner(6+0),SpecialBanner(6),SpecialBanner(1),LimitedBanner(1+0),StandardBanner(1+0)
14,308,376,14,14,14
50,367,467,49,48,49
29,834,595,88,27,88
61,402,472,57,59,57
58,539,417,143,56,143
17,628,273,25,104,25
57,359,430,60,35,60
4,748,251,149,83,149
33,564,439,14,127,14
17,726,284,30,19,30
21,775,272,62,42,62
26,626,433,152,61,266
61,633,228,115,54,49
1,362,444,49,422,46
54,288,600,46,104,245
56,476,341,179,18,139
41,394,426,67,197,111
15,900,368,139,39,58
31,710,437,111,9,78
63,424,476,58,134,4
56,423,285,78,65,220
33,437,315,4,84,98
17,587,380,158,70,67
28,324,347,63,40,44
23,672,520,98,56,75
57,524,654,67,271,102
57,724,406,44,14,31
52,557,455,75,15,15
1,1008,357,102,10,187
46,676,377,31,173,11
23,603,310,15,35,34
56,593,323,160,300,25
45,559,294,28,63,170
2,780,483,11,1,138
58,594,523,34,19,22
48,452,248,25,60,61
20,598,320,170,150,38
56,466,426,58,80,114
56,497,455,81,24,55
20,505,404,22,28,27
11,691,370,61,85,13
60,1586,646,38,61,13
43,568,580,114,81,29
11,570,512,55,173,86
59,640,369,27,32,144
1,596,270,13,74,59
21,478,322,13,185,59
51,648,235,29,80,58
12,543,500,86,204,33
1,483,421,144,190,4
63,389,271,59,59,17
26,556,251,59,73,56
61,1272,461,58,46,94
11,687,418,33,94,9
33,573,133,4,102,104
31,476,443,17,86,63
42,704,360,56,117,13
58,494,150,94,124,35
11,699,412,9,112,45
57,277,305,104,38,58
30,762,180,63,249,58
17,327,399,13,33,60
54,439,646,35,355,132
23,340,329,45,182,60
34,505,539,58,53,74
58,713,252,58,99,48
13,534,468,60,53,59
5,464,498,132,217,35
15,301,401,60,6,61
3,744,337,74,30,11
12,419,331,48,158,33
16,479,222,59,166,87
49,317,274,35,49,1
56,486,533,61,39,108
51,526,314,11,259,9
22,592,465,33,51,125
14,639,383,87,18,114
7,877,390,1,164,31
6,472,447,108,102,57
32,711,367,9,55,91
4,513,369,125,2,20
26,984,485,114,63,96
1,627,344,31,149,34
48,357,345,57,16,152
57,555,359,91,77,206
67,702,355,20,51,56
58,587,595,96,27,17
19,347,337,34,137,112
64,567,309,152,8,54
3,515,305,207,56,16
16,602,248,57,9,86
6,596,413,17,39,54
62,530,436,112,4,225
31,767,218,54,160,31
9,303,284,16,26,74
60,639,263,86,144,41
50,366,438,54,103,108
7,343,422,160,21,51
56,728,401,66,174,57
28,575,467,31,57,51
14,802,695,74,28,51
1,674,328,41,72,50
13,666,262,108,42,199
30,471,471,51,272,52
22,705,465,57,55,19
66,414,629,51,122,1
16,597,409,51,174,70
48,576,264,50,30,95
56,857,387,199,247,79
28,309,200,53,79,81
60,618,307,19,318,211
1,850,434,1,30,9
59,725,255,70,135,17
59,402,248,95,59,78
34,423,535,79,89,26
5,295,394,81,19,27
18,765,335,211,42,28
57,591,479,10,101,31
55,963,216,17,17,108
34,860,458,78,143,65
7,1289,470,26,102,10
2,1040,447,27,28,40
10,354,463,28,76,5
55,640,721,31,4,114
32,400,351,108,197,75
20,986,640,65,54,71
64,375,361,10,64,77
14,598,301,40,98,104
36,755,271,5,24,22
25,748,229,114,71,8
22,388,404,75,127,18
59,583,349,71,55,151
59,668,457,77,62,87
1,296,319,104,61,23
60,556,320,22,14,51
22,575,315,8,29,43
49,226,386,18,220,85
64,683,492,151,134,57
61,543,677,88,129,189
44,404,464,23,133,60
32,515,189,51,34,62
48,285,551,43,18,6
2,454,283,85,47,28
60,997,205,57,78,174
13,507,425,189,14,136
6,791,406,61,162,115
19,976,380,62,25,227
54,410,293,6,54,148
20,519,497,28,196,27
34,454,484,174,90,101
11,586,538,137,145,67
10,589,480,115,86,60
54,740,241,208,42,90
16,583,447,20,151,20
1,405,421,148,61,68
1,533,426,27,180,78
55,355,474,101,4,18
55,480,544,67,146,144
10,347,404,60,222,103
4,1425,477,90,94,107
63,688,171,20,86,5
9,1078,475,68,52,66
53,691,493,78,124,134
47,803,471,18,151,53
48,733,492,144,9,55
22,417,390,103,207,11
32,490,395,107,45,38
10,465,681,5,39,62
34,293,454,66,106,25
3,388,455,134,67,6
7,353,222,53,4,67
8,804,397,55,195,61
57,582,236,11,131,156
36,406,301,38,404,32
7,778,435,62,207,86
15,349,382,25,163,22
1,376,365,6,113,52
56,487,448,67,6,57
41,711,258,61,121,60
34,808,544,156,60,55
2,564,575,33,213,116
37,683,353,86,98,20
61,598,229,22,138,10
57,777,467,52,79,58
60,893,391,57,66,64
54,283,410,60,127,71
37,388,495,55,95,64
54,495,330,116,176,30
58,449,517,20,121,6
4,511,213,10,75,71
18,753,334,58,61,52
1,626,568,64,127,40
52,434,291,71,33,119
59,343,409,64,98,71
3,696,280,30,3,55
55,650,545,6,53,116
17,386,348,71,92,82
70,913,331,52,83,6
18,899,413,40,230,86
55,811,364,119,107,35
54,557,236,71,83,114
61,450,383,55,212,130
48,403,449,116,105,211
2,441,440,82,166,4
58,511,365,6,107,52
8,457,308,86,1,52
32,499,346,35,86,56
55,642,457,114,119,24
21,466,230,130,124,5
17,806,235,152,134,129
26,626,523,60,130,21
40,490,489,4,91,58
9,731,396,52,146,84
62,593,432,52,49,23
52,388,390,56,30,157
1,1066,344,24,100,61
57,450,267,5,36,27
51,345,377,129,61,53
2,364,519,21,180,26
39,492,379,58,42,101
14,534,345,84,248,16
51,531,537,23,7,148
56,1292,333,157,60,210
60,225,486,62,52,46
36,900,402,27,8,34
51,456,278,53,53,182
52,570,304,26,133,5
2,671,323,101,165,41
20,393,465,16,55,157
2,701,406,148,82,18
63,533,269,171,90,38
9,510,469,40,142,69
1,721,469,46,82,67
29,548,354,34,14,5
67,442,425,179,87,95
1,182,449,4,83,96
8,648,316,5,75,49
60,689,344,41,169,106
13,284,308,156,134,210
26,408,531,2,7,165
40,876,259,18,37,115
18,761,634,38,172,79
4,381,333,69,85,112
65,434,416,67,38,159
8,445,461,5,111,157
2,587,601,95,119,55
55,471,338,96,166,17
20,438,667,49,16,149
64,588,465,106,243,11
10,341,610,196,240,57
18,275,417,15,556,187
61,419,309,165,378,38
8,700,675,116,153,69
12,373,505,79,60,29
1,484,315,112,17,60
26,721,283,159,97,146
28,407,301,158,3,9
24,627,513,56,301,68
6,451,316,17,90,57
32,581,305,149,27,104
52,438,525,11,53,30
58,526,488,57,58,32
2,824,375,187,124,50
8,680,508,39,17,29
58,846,342,69,291,25
11,661,358,29,80,3
41,500,384,60,89,54
6,510,227,146,66,14
32,872,419,9,216,80
50,549,401,68,113,85
35,573,517,57,76,86
49,584,486,104,194,30
14,460,380,30,110,22
15,572,518,32,59,54
58,658,418,50,89,13
15,618,447,29,104,34
25,390,446,25,40,82
54,485,399,3,44,27
60,746,964,54,55,24
46,396,286,14,133,5
23,674,361,80,117,112
9,873,337,85,62,331
1,892,287,86,67,103
18,698,362,30,155,108
58,717,472,22,7,28
22,756,498,54,231,62
60,724,338,13,183,66
15,237,434,34,57,55
59,497,342,82,15,60
30,300,395,27,186,61
24,371,531,24,87,5
52,721,279,5,116,77
44,376,439,112,29,60
56,583,447,159,91,8
31,467,547,173,34,57
58,308,634,103,32,55
21,189,312,108,63,14
57,420,686,28,92,31
58,390,475,62,154,62
57,251,483,66,6,32
61,768,433,55,136,116
54,687,355,60,56,81
10,453,274,61,55,25
7,341,298,5,51,38
29,349,182,77,132,40
30,871,598,60,42,217
59,1047,362,8,53,64
53,517,318,57,13,24
36,433,369,55,161,59
57,609,282,14,117,104
9,406,327,31,23,110
34,245,249,62,187,8
40,586,412,32,55,59
1,708,224,116,152,3
53,449,369,81,163,44
63,432,422,25,50,10
26,352,385,38,203,9
56,455,485,40,217,188
58,575,345,161,487,47
9,346,506,57,4,24
53,396,293,64,2,98
31,845,239,24,148,85
50,593,316,59,180,55
50,744,399,104,301,58
4,728,648,110,52,34
48,848,277,8,3,143
28,540,384,59,132,18
31,800,456,3,80,52
2,957,291,44,4,15
60,757,391,10,185,5
12,504,601,9,169,11
33,619,499,184,1,61
36,599,348,5,134,27
4,446,728,47,105,31
41,707,380,24,122,70
18,424,497,98,114,17
55,525,525,85,54,13
12,943,469,55,109,33
26,389,551,58,99,278
21,374,326,34,128,30
44,637,421,143,275,46
26,738,262,18,39,93
31,364,343,52,50,21
49,417,524,15,88,63
19,408,397,5,93,52
59,318,471,11,53,26
48,592,505,61,69,49
40,472,360,27,141,18
45,819,314,31,112,24
54,756,244,70,45,10
36,475,287,17,189,53
60,640,287,13,172,17
20,444,288,33,59,35
6,250,286,172,122,142
67,982,386,107,51,109
60,825,623,30,90,17
59,306,373,46,11,79
17,440,302,93,29,63
2,412,563,21,21,48
54,509,549,63,75,57
1,251,544,52,79,241
55,448,374,26,53,236
12,894,311,49,71,53
39,646,274,18,21,21
55,657,402,24,181,19
34,600,352,10,357,55
7,1087,379,53,57,27
53,739,336,17,20,154
16,622,363,35,7,36
6,498,521,142,93,46
57,282,415,109,127,93
53,407,224,17,23,208
21,509,446,79,4,154
53,869,234,63,125,69
33,425,460,48,46,11
25,1085,381,57,246,99
9,465,441,162,9,4
58,497,418,80,9,1
21,695,305,199,35,68
10,414,484,38,128,192
23,551,396,53,100,43
7,386,304,21,5,91
27,515,411,19,15,28
21,366,470,55,57,54
58,708,355,27,173,59
61,354,270,154,106,126
1,752,296,37,43,18
55,686,205,46,50,34
62,712,516,93,77,87
56,456,354,193,56,232
21,641,421,16,370,24
11,456,470,154,89,90
59,545,328,70,27,57
65,313,375,11,133,11
12,436,405,99,4,218
61,430,282,4,90,203
8,1223,345,1,33,53
58,1003,308,68,92,2
8,779,517,192,57,64
24,495,362,44,124,14
7,759,297,91,173,105
20,388,384,28,55,18
49,449,244,54,78,43
5,734,491,59,67,51
53,285,346,126,102,99
26,459,344,18,58,15
13,649,286,34,81,36
4,429,361,87,78,3
60,559,340,173,121,53
1,389,318,60,25,50
60,275,667,24,57,29
46,413,488,90,7,51
27,567,215,57,27,16
56,787,499,11,64,134
57,504,309,166,75,11
61,334,466,53,56,55
31,1160,383,190,111,54
53,794,689,14,383,4
7,571,382,53,60,60
45,465,591,2,59,68
43,416,613,64,76,91
21,659,324,14,130,77
16,836,529,105,110,174
59,795,337,18,42,62
57,493,580,43,59,58
63,744,451,51,2,55
26,427,546,99,28,73
44,405,385,15,14,58
37,735,242,36,43,16
55,810,168,3,106,54
57,613,342,53,202,80
7,379,331,50,86,55
60,641,413,29,33,132
5,446,320,51,7,62
53,474,298,16,95,44
43,554,368,134,78,92
11,520,400,11,61,68
57,600,271,55,43,64
25,772,516,54,73,93
6,577,300,4,19,8
13,347,279,60,24,120
55,407,471,68,231,30
53,613,257,91,74,7
12,557,313,77,65,194
22,423,247,174,151,56
59,689,598,63,132,52
31,412,493,58,18,80
55,357,361,55,167,54
24,737,488,73,57,43
62,585,313,58,1,54
15,406,513,16,75,14
24,300,472,54,272,281
60,462,446,80,16,25
62,224,429,55,120,124
28,851,543,132,74,63
54,665,428,62,35,56
27,969,605,44,6,38
64,424,311,92,393,61
39,607,456,68,114,220
17,902,451,64,55,1
42,544,246,93,50,46
38,463,295,8,21,4
35,505,419,120,18,97
27,664,286,30,35,112
11,812,342,7,114,151
61,330,522,162,298,20
55,480,492,33,196,49
58,830,228,56,216,95
13,761,407,52,31,57
28,573,249,80,70,68
40,801,349,54,31,8
8,484,583,43,139,54
35,684,425,54,141,58
8,811,655,14,60,28
58,879,452,162,82,128
51,522,472,120,65,5
66,882,489,25,43,3
4,678,239,124,137,89
6,672,291,63,313,68
32,403,309,56,71,108
11,548,310,38,10,72
18,751,495,61,132,44
